Density(P/Km2);Birth Rate;Co2-Emissions;CPI;CPI Change (%);Fertility Rate;GDP;Infant mortality;Life expectancy;Maternal mortality ratio;Out of pocket health expenditure;Physicians per thousand;Population;Population: Labor force participation (%);Unemployment rate;
60;32,49;8,672;149,9;2,30%;4,47;19101353833;47,9;64,5;638;78,40%;0,28;38041754;48,90%;11,12%;
105;11,78;4,536;119,05;1,40%;1,62;15278077447;7,8;78,5;15;56,90%;1,2;2854191;55,70%;12,33%;
18;24,28;150,006;151,36;2,00%;3,02;1,69988E+11;20,1;76,7;112;28,10%;1,72;43053054;41,20%;11,70%;
164;7,2;469;125,34;2,30%;1,27;3154057987;2,7;72,3;53;36,40%;3,33;77142;62,70%;7,91%;
26;40,73;34,693;261,73;17,10%;5,52;94635415870;51,6;60,8;241;33,40%;0,21;31825295;77,50%;6,89%;
223;15,33;557;113,81;1,20%;1,99;1727759259;5;76,9;42;24,30%;2,76;97118;62,70%;7,91%;
17;17,02;201,348;232,75;53,50%;2,26;4,49663E+11;8,8;76,5;39;17,60%;3,96;44938712;61,30%;9,79%;
104;13,99;5,156;129,18;1,40%;1,76;13672802158;11;74,9;26;81,60%;4,4;2957731;55,60%;16,99%;
3;12,6;375,908;119,8;1,60%;1,74;1,39268E+12;3,1;82,7;6;19,60%;3,68;25766605;65,50%;5,27%;
109;9,7;61,448;118,06;1,50%;1,47;4,46315E+11;2,9;81,6;5;17,90%;5,17;8877067;60,70%;4,67%;
123;14;37,62;156,32;2,60%;1,73;39207000000;19,2;72,9;26;78,60%;3,45;10023318;66,50%;5,51%;
39;13,97;1,786;116,22;2,50%;1,75;12827000000;8,3;73,8;70;27,80%;1,94;389482;74,60%;10,36%;
2,239;13,99;31,694;117,59;2,10%;1,99;38574069149;6,1;77,2;14;25,10%;0,93;1501635;73,40%;0,71%;
1,265;18,18;84,246;179,68;5,60%;2,04;3,02571E+11;25,1;72,3;173;71,80%;0,58;167310838;59,00%;4,19%;
668;10,65;1,276;134,09;4,10%;1,62;5209000000;11,3;79,1;27;45,20%;2,48;287025;65,20%;10,33%;
47;9,9;58,28;125,34;5,60%;1,45;63080457023;2,6;74,2;2;34,50%;5,19;9466856;64,10%;4,59%;
383;10,3;96,889;117,11;1,40%;1,62;5,29607E+11;2,9;81,6;5;17,60%;3,07;11484055;53,60%;5,59%;
17;20,79;568;105,68;-0,90%;2,31;1879613600;11,2;74,5;36;22,70%;1,12;390353;65,10%;6,41%;
108;36,22;6,476;110,71;-0,90%;4,84;14390709095;60,5;61,5;397;40,50%;0,08;11801151;70,90%;2,23%;
20;17,26;1,261;167,18;2,70%;1,98;2446674101;24,8;71,5;183;19,80%;0,42;727145;66,70%;2,34%;
11;21,75;21,606;148,32;1,80%;2,73;40895322865;21,8;71,2;155;25,90%;1,59;11513100;71,80%;3,50%;
64;8,11;21,848;104,9;0,60%;1,27;20047848435;5;77,3;10;28,60%;2,16;3301000;46,40%;18,42%;
4;24,82;6,34;149,75;2,80%;2,87;18340510789;30;69,3;144;5,30%;0,37;2346179;70,80%;18,19%;
25;13,92;462,299;167,4;3,70%;1,73;1,83976E+12;12,8;75,7;60;28,30%;2,15;212559417;63,90%;12,08%;
83;14,9;7,664;99,03;-0,40%;1,85;13469422941;9,8;75,7;31;6,00%;1,61;433285;64,70%;9,12%;
64;8,9;41,708;114,42;3,10%;1,56;86000000000;5,9;74,9;10;47,70%;4,03;6975761;55,40%;4,34%;
76;37,93;3,418;106,58;-3,20%;5,19;15745810235;49;61,2;320;36,10%;0,08;20321378;66,40%;6,26%;
463;39,01;495;182,11;-0,70%;5,41;3012334882;41;61,2;548;19,10%;0,1;11530580;79,20%;1,43%;
83;35,74;9,674;111,61;-0,90%;4,65;58792205642;59,4;57,4;617;36,00%;0,23;25716544;57,00%;3,32%;
138;19,49;543;110,5;1,10%;2,27;1981845741;16,7;72,8;58;23,20%;0,77;483628;60,50%;12,25%;
95;22,46;9,919;127,63;2,50%;2,5;27089389787;24;69,6;160;59,40%;0,17;16486542;82,30%;0,68%;
56;35,39;8,291;118,65;2,50%;4,57;38760467033;50,6;58,9;529;69,70%;0,09;25876380;76,10%;3,38%;
